net,length_um
net666,33.74µm
u_write_arbiter.aw_buf_addr\[69\],33.64µm
net364,33.64µm
clknet_leaf_73_aclk,33.6µm
_1016_,33.58µm
u_write_arbiter.u_write_qos.budget_2\[2\],33.48µm
_1075_,33.42µm
_2841_,33.42µm
_2901_,33.32µm
_1022_,33.26µm
net514,33.14µm
_0756_,33.04µm
net300,32.92µm
net247,32.88µm
_1583_,32.84µm
u_read_arbiter.u_read_qos.m0_burst_count\[0\],32.84µm
u_write_arbiter.aw_buf_addr\[52\],32.84µm
net181,32.84µm
_1034_,32.82µm
_1172_,32.8µm
clknet_leaf_44_aclk,32.78µm
_1553_,32.62µm
clknet_leaf_12_aclk,32.6µm
u_write_arbiter.aw_buf_addr\[124\],32.59µm
u_read_arbiter.u_read_qos.m0_burst_count\[7\],32.54µm
u_write_arbiter.w_buf_data\[54\],32.52µm
_1709_,32.5µm
net249,32.4µm
net460,32.4µm
net261,32.22µm
net450,32.22µm
_0689_,32.16µm
_1259_,32.14µm
_3049_,32.08µm
_1372_,32µm
u_read_arbiter.u_read_qos.m0_burst_count\[5\],31.97µm
net381,31.96µm
_2957_,31.88µm
net515,31.84µm
net63,31.78µm
net179,31.7µm
clknet_leaf_7_aclk,31.69µm
_1186_,31.66µm
_2961_,31.66µm
u_write_arbiter.aw_buf_addr\[3\],31.58µm
_1245_,31.54µm
net277,31.5µm
net189,31.48µm
u_write_arbiter.aw_buf_addr\[14\],31.46µm
u_write_arbiter.u_write_qos.age_m2\[2\],31.42µm
_1771_,31.34µm
net659,31.34µm
net421,31.32µm
net236,31µm
net378,31µm
_0585_,30.96µm
_1701_,30.96µm
_2561_,30.92µm
_0594_,30.9µm
_1722_,30.84µm
u_read_arbiter.u_read_qos.age_m2\[4\],30.82µm
_1903_,30.74µm
net520,30.74µm
_2099_,30.7µm
u_write_arbiter.aw_buf_addr\[38\],30.7µm
clknet_leaf_15_aclk,30.7µm
_2817_,30.655µm
net556,30.62µm
_2825_,30.59µm
_1581_,30.48µm
_1647_,30.44µm
_0533_,30.42µm
_2832_,30.32µm
clknet_leaf_82_aclk,30.28µm
net270,30.24µm
_1272_,30.18µm
_1177_,30.08µm
net141,30.04µm
m_axi_awaddr[24],30.02µm
u_write_arbiter.w_buf_data\[12\],30.02µm
_3142_,29.9µm
_2117_,29.82µm
_0646_,29.54µm
_3044_,29.52µm
net44,29.52µm
net508,29.44µm
u_write_arbiter.aw_buf_addr\[82\],29.34µm
u_write_arbiter.u_write_qos.age_m3\[0\],29.32µm
_1589_,29.22µm
net471,29.22µm
net613,29.12µm
_1084_,29.08µm
u_read_arbiter.u_read_qos.rr_ptr\[2\],29.08µm
_1253_,29.06µm
net350,29.06µm
clknet_leaf_75_aclk,29.06µm
_0686_,29.04µm
_0571_,28.94µm
_1594_,28.94µm
_1927_,28.94µm
net658,28.9µm
u_read_arbiter.u_read_qos.m0_burst_count\[3\],28.78µm
u_write_arbiter.aw_buf_addr\[88\],28.76µm
net344,28.74µm
s_axi_rdata[71],28.73µm
_0727_,28.7µm
_0527_,28.52µm
s_axi_wdata[80],28.52µm
_2301_,28.34µm
_1276_,28.31µm
m_axi_awaddr[20],28.26µm
_3033_,28.18µm
_2203_,28.16µm
u_write_arbiter.aw_buf_addr\[37\],28.16µm
net386,28.16µm
_1217_,28.1µm
_2058_,28.1µm
net758,28.06µm
_2973_,27.8µm
_2847_,27.78µm
_1851_,27.7µm
_1518_,27.58µm
net296,27.58µm
clknet_leaf_21_aclk,27.56µm
net349,27.5µm
_1565_,27.4µm
_0580_,27.36µm
net420,27.26µm
net525,27.18µm
u_read_arbiter.u_read_qos.m0_burst_count\[6\],27.17µm
u_write_arbiter.u_write_qos.m0_burst_count\[5\],27.17µm
_3218_,27.1µm
u_write_arbiter.w_buf_data\[120\],26.96µm
u_write_arbiter.w_buf_data\[79\],26.94µm
clknet_leaf_17_aclk,26.82µm
clknet_leaf_65_aclk,26.82µm
net756,26.8µm
net227,26.74µm
_2140_,26.68µm
_2257_,26.62µm
_3160_,26.54µm
u_write_arbiter.aw_buf_addr\[23\],26.54µm
u_write_arbiter.aw_buf_addr\[99\],26.46µm
u_write_arbiter.w_buf_strb\[2\],26.46µm
net609,26.44µm
net454,26.42µm
clknet_leaf_74_aclk,26.4µm
_0665_,26.39µm
s_axi_rdata[12],26.27µm
u_write_arbiter.w_buf_data\[2\],26.2µm
clknet_leaf_18_aclk,26.18µm
s_axi_awaddr[89],26.16µm
u_write_arbiter.w_buf_data\[118\],26.14µm
_1082_,26.11µm
_0546_,26.09µm
_1035_,26.04µm
net442,26µm
_2893_,25.98µm
_2921_,25.98µm
net363,25.98µm
net202,25.94µm
u_write_arbiter.aw_buf_addr\[46\],25.92µm
_0652_,25.9µm
_1606_,25.88µm
_0550_,25.82µm
_2351_,25.77µm
s_axi_awaddr[85],25.74µm
u_write_arbiter.u_write_qos.age_m2\[7\],25.74µm
net778,25.64µm
u_write_arbiter.u_write_qos.budget_1\[0\],25.63µm
_0762_,25.62µm
net193,25.62µm
u_write_arbiter.u_write_qos.age_m1\[6\],25.61µm
_0958_,25.58µm
_2566_,25.58µm
_1605_,25.52µm
net51,25.5µm
u_write_arbiter.u_write_qos.age_m2\[6\],25.49µm
u_read_arbiter.u_read_qos.age_m3\[6\],25.44µm
_2070_,25.4µm
net667,25.36µm
_0947_,25.34µm
u_read_arbiter.u_read_qos.age_m1\[7\],25.3µm
_0797_,25.24µm
_2044_,25.18µm
u_write_arbiter.aw_buf_addr\[28\],25.18µm
net485,25.18µm
_1085_,25.12µm
_0641_,25.1µm
u_write_arbiter.u_write_qos.m0_burst_count\[0\],25.06µm
_3065_,25µm
_1229_,24.88µm
_2838_,24.88µm
net116,24.86µm
u_read_arbiter.u_read_qos.age_m2\[0\],24.78µm
_1275_,24.76µm
clknet_leaf_52_aclk,24.76µm
_1151_,24.72µm
_1584_,24.72µm
u_write_arbiter.w_state\[1\],24.68µm
_2557_,24.66µm
_0962_,24.64µm
_1036_,24.64µm
_2554_,24.54µm
_2460_,24.4µm
_3072_,24.36µm
net380,24.3µm
net670,24.28µm
u_write_arbiter.u_write_qos.budget_3\[3\],24.275µm
u_write_arbiter.aw_buf_addr\[19\],24.26µm
_0826_,24.18µm
u_read_arbiter.u_read_qos.age_m1\[6\],24.17µm
_1383_,24.15µm
_1038_,24.14µm
_1382_,24.12µm
u_write_arbiter.w_buf_data\[0\],24.1µm
_0565_,24.06µm
_1204_,24.06µm
u_write_arbiter.u_write_qos.budget_1\[1\],24.06µm
u_write_arbiter.aw_buf_addr\[39\],24.04µm
u_write_arbiter.u_write_qos.budget_2\[3\],24.04µm
_2548_,24.02µm
_1037_,23.995µm
_0529_,23.98µm
u_write_arbiter.aw_buf_addr\[122\],23.94µm
_0916_,23.9µm
net664,23.86µm
_2986_,23.84µm
_2888_,23.8µm
net360,23.74µm
u_write_arbiter.w_buf_strb\[3\],23.6µm
u_write_arbiter.aw_buf_addr\[21\],23.58µm
_0839_,23.56µm
u_write_arbiter.w_buf_data\[59\],23.56µm
_1962_,23.54µm
_1211_,23.52µm
net33,23.5µm
net284,23.5µm
u_write_arbiter.u_write_qos.age_m2\[5\],23.44µm
_1113_,23.4µm
m_axi_rdata[62],23.4µm
u_read_arbiter.u_read_qos.age_m3\[0\],23.38µm
_0583_,23.34µm
_3039_,23.34µm
_1908_,23.3µm
_0908_,23.2µm
_2956_,23.2µm
u_write_arbiter.w_buf_data\[110\],23.19µm
_1632_,23.18µm
u_write_arbiter.u_write_qos.budget_3\[2\],23.16µm
_1344_,23.14µm
_1439_,23.14µm
u_write_arbiter.u_write_qos.age_m3\[6\],23.12µm
s_axi_araddr[7],23.08µm
net148,23.08µm
u_response_router.w_owner_id\[1\],23.06µm
_1271_,23.02µm
_0741_,22.98µm
_1619_,22.98µm
_0909_,22.96µm
_1373_,22.9µm
_2914_,22.88µm
clknet_leaf_102_aclk,22.88µm
_0542_,22.82µm
_0659_,22.82µm
_2555_,22.76µm
net759,22.7µm
net1049,22.6µm
_1077_,22.5µm
_2465_,22.5µm
net322,22.5µm
net608,22.46µm
net889,22.42µm
net890,22.4µm
_2819_,22.38µm
u_write_arbiter.w_buf_data\[116\],22.38µm
net294,22.32µm
net154,22.3µm
u_write_arbiter.w_buf_data\[45\],22.28µm
_2167_,22.26µm
_0693_,22.24µm
_1108_,22.22µm
net394,22.18µm
_1821_,22.12µm
_2282_,22.12µm
net1132,22.1µm
u_read_arbiter.u_read_qos.budget_3\[0\],22.07µm
_1079_,22.06µm
net1239,22.06µm
_3003_,22.04µm
clknet_leaf_28_aclk,22µm
_1198_,21.82µm
u_read_arbiter.u_read_qos.age_m3\[1\],21.81µm
u_write_arbiter.aw_buf_addr\[25\],21.76µm
net183,21.72µm
_1155_,21.66µm
net186,21.66µm
net473,21.62µm
net384,21.6µm
net551,21.58µm
u_write_arbiter.u_write_qos.budget_2\[0\],21.55µm
_0591_,21.54µm
_3038_,21.54µm
net396,21.52µm
u_write_arbiter.w_buf_data\[49\],21.5µm
s_axi_awaddr[78],21.44µm
net289,21.4µm
_2339_,21.36µm
u_write_arbiter.u_write_qos.age_m1\[2\],21.36µm
u_read_arbiter.u_read_qos.budget_3\[3\],21.28µm
net290,21.26µm
_1342_,21.24µm
net754,21.24µm
_1721_,21.2µm
_0829_,21.16µm
net306,21.12µm
_0670_,21.1µm
m_axi_rdata[33],21.1µm
_2176_,21.08µm
s_axi_awaddr[83],21.06µm
_2171_,21.04µm
net388,21.04µm
u_read_arbiter.u_read_qos.age_m1\[1\],21.02µm
net387,21.02µm
u_write_arbiter.w_buf_data\[44\],21µm
_0925_,20.96µm
net582,20.92µm
s_axi_awaddr[20],20.9µm
u_write_arbiter.u_write_qos.age_m3\[7\],20.84µm
u_write_arbiter.u_write_qos.m0_burst_count\[7\],20.84µm
u_write_arbiter.w_buf_strb\[0\],20.82µm
u_write_arbiter.w_buf_data\[32\],20.8µm
net320,20.8µm
_0845_,20.78µm
_0667_,20.76µm
_0787_,20.66µm
net600,20.66µm
s_axi_araddr[44],20.64µm
s_axi_araddr[50],20.64µm
u_write_arbiter.aw_buf_addr\[94\],20.64µm
u_read_arbiter.u_read_qos.age_m3\[7\],20.61µm
_0647_,20.56µm
_1664_,20.56µm
u_write_arbiter.w_buf_data\[38\],20.46µm
_1074_,20.44µm
u_write_arbiter.aw_buf_prot\[1\],20.44µm
net345,20.44µm
s_axi_rdata[70],20.41µm
u_write_arbiter.w_buf_data\[102\],20.4µm
_0530_,20.38µm
_2464_,20.34µm
u_write_arbiter.aw_buf_addr\[11\],20.28µm
u_write_arbiter.w_buf_data\[53\],20.27µm
u_read_arbiter.u_read_qos.budget_1\[2\],20.26µm
_2913_,20.24µm
m_axi_awaddr[62],20.24µm
s_axi_awaddr[62],20.22µm
u_write_arbiter.u_write_qos.m0_burst_count\[6\],20.22µm
_1571_,20.2µm
clknet_leaf_41_aclk,20.2µm
m_axi_rdata[49],20.18µm
net453,20.16µm
net543,20.16µm
net549,20.14µm
s_axi_awaddr[22],20.12µm
s_axi_wdata[74],20.1µm
_0881_,20.06µm
u_write_arbiter.aw_buf_addr\[34\],20.04µm
u_write_arbiter.aw_buf_addr\[49\],20µm
_0673_,19.98µm
_1109_,19.92µm
_1822_,19.9µm
net346,19.86µm
_1311_,19.84µm
_3092_,19.8µm
u_read_arbiter.u_read_qos.m0_burst_count\[4\],19.8µm
net424,19.8µm
_1162_,19.78µm
s_axi_rdata[44],19.75µm
_0572_,19.74µm
_1751_,19.74µm
_3073_,19.74µm
_1026_,19.72µm
u_write_arbiter.u_write_qos.age_m1\[7\],19.72µm
_1111_,19.7µm
_1788_,19.7µm
u_write_arbiter.aw_buf_addr\[83\],19.66µm
_1723_,19.62µm
_2835_,19.58µm
u_write_arbiter.aw_buf_addr\[118\],19.58µm
net192,19.56µm
_2865_,19.54µm
net99,19.54µm
s_axi_awaddr[28],19.52µm
u_read_arbiter.u_read_qos.age_m1\[5\],19.52µm
_2386_,19.4µm
u_write_arbiter.w_buf_data\[66\],19.4µm
clknet_leaf_8_aclk,19.32µm
_0779_,19.31µm
_1805_,19.3µm
u_write_arbiter.w_buf_strb\[7\],19.3µm
net283,19.28µm
net331,19.26µm
net475,19.26µm
u_write_arbiter.u_write_qos.m0_burst_count\[1\],19.24µm
_1308_,19.22µm
net854,19.18µm
_0648_,19.14µm
u_write_arbiter.aw_buf_addr\[107\],19.08µm
u_write_arbiter.aw_buf_prot\[7\],19.02µm
net1033,19µm
_1699_,18.98µm
net136,18.98µm
net259,18.98µm
u_write_arbiter.w_buf_data\[55\],18.96µm
s_axi_rdata[54],18.95µm
_1197_,18.94µm
_1362_,18.94µm
_1693_,18.94µm
u_write_arbiter.w_buf_data\[127\],18.94µm
m_axi_awaddr[39],18.92µm
net286,18.92µm
_1078_,18.9µm
u_write_arbiter.w_buf_data\[89\],18.9µm
u_write_arbiter.w_buf_data\[109\],18.865µm
_2105_,18.86µm
net285,18.82µm
net838,18.82µm
u_write_arbiter.u_write_qos.budget_1\[2\],18.76µm
u_read_arbiter.u_read_qos.budget_1\[3\],18.66µm
u_write_arbiter.aw_buf_addr\[97\],18.66µm
s_axi_wstrb[0],18.65µm
_1706_,18.62µm
_1043_,18.6µm
_3050_,18.6µm
_2560_,18.54µm
s_axi_awaddr[82],18.48µm
_0597_,18.405µm
u_write_arbiter.w_buf_data\[43\],18.4µm
net137,18.4µm
_1010_,18.34µm
m_axi_rdata[31],18.34µm
_1076_,18.3µm
s_axi_wdata[64],18.26µm
u_write_arbiter.w_buf_data\[56\],18.18µm
m_axi_awaddr[30],18.16µm
net449,18.16µm
m_axi_awaddr[48],18.14µm
_1040_,18.12µm
m_axi_araddr[5],18.12µm
m_axi_awaddr[22],18.12µm
u_write_arbiter.aw_buf_addr\[98\],18.1µm
u_write_arbiter.aw_buf_addr\[125\],18.08µm
u_write_arbiter.aw_buf_addr\[119\],18.06µm
_0955_,18.04µm
net787,18.04µm
_0967_,18µm
_2332_,18µm
u_read_arbiter.u_read_qos.budget_2\[1\],17.94µm
clknet_leaf_101_aclk,17.94µm
net338,17.92µm
s_axi_rdata[17],17.89µm
m_axi_rdata[58],17.88µm
s_axi_araddr[13],17.88µm
s_axi_araddr[39],17.88µm
s_axi_wdata[37],17.88µm
net305,17.88µm
net516,17.88µm
_0858_,17.86µm
s_axi_wdata[12],17.84µm
_3124_,17.8µm
m_axi_rdata[0],17.8µm
m_axi_awaddr[54],17.76µm
u_write_arbiter.w_buf_data\[34\],17.76µm
_1644_,17.74µm
u_write_arbiter.aw_buf_addr\[20\],17.74µm
u_write_arbiter.w_buf_data\[20\],17.72µm
s_axi_wvalid[1],17.69µm
_1733_,17.68µm
_2791_,17.68µm
s_axi_wdata[77],17.68µm
net194,17.68µm
u_write_arbiter.aw_buf_addr\[71\],17.66µm
net1006,17.64µm
_0764_,17.62µm
m_axi_awaddr[15],17.6µm
_0522_,17.58µm
_1303_,17.52µm
u_write_arbiter.aw_buf_addr\[66\],17.52µm
s_axi_awaddr[27],17.46µm
s_axi_wdata[3],17.46µm
s_axi_wdata[61],17.42µm
_1045_,17.4µm
_1191_,17.4µm
s_axi_awaddr[116],17.38µm
s_axi_wdata[104],17.38µm
s_axi_wdata[105],17.38µm
s_axi_wdata[16],17.38µm
s_axi_wdata[86],17.38µm
s_axi_wdata[87],17.38µm
net149,17.38µm
s_axi_awaddr[51],17.36µm
u_write_arbiter.aw_buf_addr\[12\],17.36µm
_0651_,17.34µm
net542,17.32µm
s_axi_araddr[42],17.3µm
net318,17.24µm
_0841_,17.18µm
_0929_,17.18µm
m_axi_rdata[60],17.18µm
u_write_arbiter.w_buf_data\[122\],17.18µm
_1661_,17.16µm
net932,17.16µm
_0552_,17.14µm
m_axi_awaddr[57],17.14µm
u_write_arbiter.w_buf_data\[15\],17.1µm
m_axi_awaddr[29],17.06µm
u_write_arbiter.aw_buf_addr\[70\],17.06µm
u_read_arbiter.owner_id_r\[0\],17.04µm
clknet_leaf_49_aclk,17.04µm
_1339_,17.02µm
u_write_arbiter.w_buf_data\[123\],17.02µm
u_write_arbiter.u_write_qos.age_m2\[3\],17µm
_1850_,16.98µm
_3177_,16.98µm
u_write_arbiter.w_buf_data\[47\],16.97µm
m_axi_arready[1],16.96µm
m_axi_rdata[14],16.96µm
s_axi_awaddr[105],16.96µm
s_axi_awaddr[50],16.96µm
s_axi_awaddr[94],16.96µm
s_axi_wdata[122],16.96µm
s_axi_wdata[55],16.96µm
_1637_,16.94µm
_1114_,16.93µm
_0837_,16.92µm
_1110_,16.92µm
s_axi_awaddr[110],16.92µm
s_axi_awaddr[84],16.92µm
s_axi_wdata[41],16.92µm
s_axi_wdata[7],16.92µm
s_axi_wdata[85],16.92µm
net269,16.92µm
u_write_arbiter.aw_buf_addr\[15\],16.9µm
u_write_arbiter.w_buf_strb\[11\],16.88µm
s_axi_rdata[72],16.85µm
_1047_,16.84µm
s_axi_araddr[105],16.84µm
s_axi_araddr[97],16.84µm
_2446_,16.82µm
s_axi_araddr[114],16.8µm
_0917_,16.78µm
_1343_,16.78µm
_1802_,16.78µm
net589,16.78µm
_1551_,16.76µm
u_write_arbiter.aw_buf_addr\[62\],16.76µm
u_write_arbiter.aw_buf_addr\[51\],16.74µm
_1450_,16.72µm
m_axi_rdata[53],16.72µm
u_write_arbiter.u_write_qos.rr_ptr\[2\],16.72µm
net182,16.72µm
u_write_arbiter.aw_buf_prot\[6\],16.7µm
_2680_,16.68µm
_0936_,16.66µm
_2911_,16.64µm
_3188_,16.64µm
u_read_arbiter.r_state\[1\],16.64µm
net480,16.64µm
_0541_,16.6µm
net477,16.56µm
s_axi_awaddr[119],16.54µm
_0636_,16.535µm
_1567_,16.48µm
s_axi_awaddr[19],16.46µm
_1707_,16.44µm
_0531_,16.42µm
_1239_,16.4µm
_1223_,16.36µm
_2340_,16.36µm
_1777_,16.32µm
net668,16.32µm
_2447_,16.28µm
u_write_arbiter.u_write_qos.age_m1\[1\],16.28µm
_2189_,16.26µm
s_axi_araddr[5],16.26µm
_1625_,16.24µm
_1205_,16.18µm
u_write_arbiter.aw_buf_addr\[108\],16.18µm
_0865_,16.16µm
u_write_arbiter.aw_buf_addr\[41\],16.16µm
_0838_,16.14µm
m_axi_araddr[48],16.14µm
u_write_arbiter.aw_buf_addr\[5\],16.14µm
u_write_arbiter.w_buf_data\[85\],16.14µm
_1102_,16.12µm
_1150_,16.12µm
_1710_,16.12µm
_0994_,16.1µm
u_read_arbiter.u_read_qos.age_m1\[2\],16.1µm
net506,16.1µm
s_axi_awaddr[46],16.08µm
s_axi_awaddr[88],16.08µm
_1839_,16.06µm
m_axi_rdata[29],16.04µm
s_axi_araddr[12],16.04µm
net1039,16.04µm
_2055_,16.02µm
s_axi_awaddr[39],16µm
u_write_arbiter.aw_buf_addr\[10\],15.98µm
s_axi_wstrb[3],15.97µm
u_read_arbiter.u_read_qos.budget_1\[0\],15.97µm
_1041_,15.96µm
_1951_,15.96µm
s_axi_awaddr[7],15.96µm
_0945_,15.92µm
net316,15.9µm
s_axi_awaddr[126],15.88µm
s_axi_wdata[91],15.88µm
u_write_arbiter.w_buf_strb\[10\],15.88µm
net1254,15.86µm
net228,15.84µm
net366,15.84µm
_2275_,15.8µm
u_write_arbiter.w_buf_data\[96\],15.8µm
net200,15.8µm
_0730_,15.78µm
m_axi_awaddr[14],15.76µm
m_axi_awaddr[58],15.76µm
net989,15.76µm
m_axi_awaddr[10],15.72µm
u_read_arbiter.u_read_qos.budget_2\[2\],15.64µm
s_axi_awaddr[109],15.62µm
s_axi_awaddr[14],15.62µm
s_axi_awaddr[55],15.62µm
net1000,15.6µm
s_axi_awaddr[34],15.59µm
m_axi_rdata[40],15.58µm
m_axi_rdata[7],15.58µm
_1546_,15.56µm
s_axi_awaddr[115],15.54µm
s_axi_awaddr[93],15.5µm
u_write_arbiter.aw_buf_addr\[65\],15.5µm
_0706_,15.48µm
_2149_,15.48µm
_2822_,15.48µm
u_write_arbiter.aw_buf_addr\[13\],15.48µm
u_write_arbiter.aw_buf_valid\[3\],15.46µm
_2834_,15.42µm
s_axi_wstrb[14],15.41µm
net129,15.4µm
net445,15.4µm
_1007_,15.38µm
_0677_,15.36µm
u_write_arbiter.aw_buf_addr\[42\],15.36µm
_1698_,15.34µm
m_axi_rresp[3],15.34µm
_0978_,15.32µm
u_read_arbiter.owner_id_r\[1\],15.32µm
_1310_,15.3µm
net603,15.3µm
u_write_arbiter.aw_buf_addr\[106\],15.28µm
net1181,15.26µm
_1341_,15.24µm
s_axi_awaddr[113],15.16µm
net361,15.16µm
_0745_,15.14µm
m_axi_rdata[45],15.12µm
m_axi_rdata[9],15.12µm
s_axi_wdata[111],15.12µm
net347,15.12µm
_0803_,15.1µm
_1643_,15.1µm
_1831_,15.04µm
s_axi_awaddr[54],15.04µm
_1039_,14.98µm
_1436_,14.96µm
s_axi_wstrb[9],14.95µm
m_axi_awaddr[41],14.9µm
_0524_,14.88µm
m_axi_awaddr[17],14.88µm
_2552_,14.86µm
_2558_,14.86µm
_1215_,14.855µm
_0695_,14.84µm
_2970_,14.84µm
u_write_arbiter.w_buf_data\[77\],14.84µm
net512,14.76µm
_0906_,14.74µm
net273,14.74µm
_0840_,14.72µm
net956,14.72µm
net1073,14.72µm
s_axi_awaddr[61],14.7µm
u_read_arbiter.u_read_qos.budget_1\[1\],14.7µm
u_write_arbiter.w_buf_data\[97\],14.68µm
_1116_,14.66µm
_2128_,14.66µm
m_axi_rdata[47],14.66µm
m_axi_rvalid[0],14.66µm
s_axi_araddr[112],14.66µm
s_axi_araddr[81],14.66µm
s_axi_araddr[98],14.66µm
s_axi_wdata[113],14.66µm
s_axi_wdata[25],14.66µm
s_axi_wdata[38],14.66µm
s_axi_wdata[49],14.66µm
s_axi_wdata[57],14.66µm
s_axi_wdata[93],14.66µm
u_read_arbiter.u_read_qos.age_m1\[4\],14.66µm
s_axi_awaddr[117],14.62µm
s_axi_wdata[40],14.62µm
s_axi_wdata[47],14.62µm
s_axi_wdata[71],14.62µm
s_axi_wdata[84],14.62µm
s_axi_wdata[8],14.62µm
u_write_arbiter.w_buf_data\[65\],14.62µm
_0540_,14.6µm
_2472_,14.6µm
net1009,14.6µm
_1069_,14.59µm
s_axi_awaddr[124],14.58µm
s_axi_awaddr[57],14.58µm
_2926_,14.56µm
cfg_master0_burst_limit[6],14.5µm
m_axi_rdata[39],14.5µm
s_axi_wdata[23],14.5µm
u_write_arbiter.w_buf_data\[33\],14.5µm
_2180_,14.46µm
m_axi_araddr[45],14.44µm
u_write_arbiter.aw_buf_valid\[1\],14.44µm
u_write_arbiter.aw_buf_prot\[10\],14.435µm
_2048_,14.42µm
u_write_arbiter.aw_buf_addr\[102\],14.42µm
u_write_arbiter.aw_buf_addr\[126\],14.42µm
u_write_arbiter.w_buf_data\[107\],14.42µm
net772,14.42µm
_0697_,14.4µm
m_axi_awaddr[33],14.4µm
m_axi_awaddr[46],14.4µm
m_axi_awaddr[9],14.4µm
u_read_arbiter.u_read_qos.budget_3\[1\],14.4µm
net57,14.4µm
_0815_,14.38µm
_2933_,14.38µm
_0905_,14.34µm
u_write_arbiter.aw_buf_addr\[50\],14.34µm
_0850_,14.32µm
_0679_,14.3µm
_0952_,14.3µm
_1202_,14.3µm
net1096,14.3µm
net602,14.26µm
s_axi_awaddr[92],14.24µm
_1122_,14.22µm
u_write_arbiter.aw_buf_addr\[40\],14.22µm
_1380_,14.2µm
m_axi_rdata[37],14.2µm
m_axi_rdata[44],14.2µm
m_axi_rdata[48],14.2µm
m_axi_rdata[50],14.2µm
s_axi_araddr[102],14.2µm
s_axi_araddr[72],14.2µm
s_axi_araddr[74],14.2µm
s_axi_awaddr[121],14.2µm
s_axi_wdata[17],14.2µm
s_axi_wdata[18],14.2µm
s_axi_wdata[2],14.2µm
s_axi_wdata[46],14.2µm
s_axi_wdata[70],14.2µm
s_axi_wdata[88],14.2µm
net440,14.2µm
u_read_arbiter.r_state\[0\],14.18µm
s_axi_rdata[22],14.17µm
s_axi_awaddr[23],14.16µm
s_axi_awaddr[72],14.16µm
s_axi_wdata[115],14.16µm
s_axi_wdata[11],14.16µm
s_axi_wdata[76],14.16µm
u_write_arbiter.w_buf_data\[50\],14.14µm
s_axi_awaddr[122],14.12µm
s_axi_awaddr[91],14.12µm
_0907_,14.1µm
_1813_,14.08µm
s_axi_arprot[0],14.08µm
s_axi_awvalid[1],14.08µm
net342,14.06µm
m_axi_rdata[38],14.04µm
u_write_arbiter.u_write_qos.budget_2\[1\],14.04µm
u_write_arbiter.aw_buf_addr\[112\],14.02µm
u_write_arbiter.aw_buf_addr\[27\],14.02µm
u_write_arbiter.w_buf_data\[64\],14.02µm
u_write_arbiter.w_buf_data\[119\],14.015µm
_1569_,14µm
_3203_,14µm
_1545_,13.96µm
_2021_,13.96µm
u_write_arbiter.w_buf_data\[121\],13.96µm
u_write_arbiter.w_buf_data\[68\],13.96µm
u_write_arbiter.w_buf_strb\[9\],13.96µm
u_write_arbiter.u_write_qos.age_m3\[5\],13.88µm
u_write_arbiter.w_buf_data\[57\],13.88µm
_1556_,13.84µm
u_write_arbiter.aw_buf_addr\[35\],13.84µm
u_write_arbiter.w_buf_strb\[12\],13.84µm
m_axi_araddr[33],13.82µm
cfg_weight_m2[2],13.81µm
_2775_,13.8µm
net336,13.8µm
_0827_,13.78µm
s_axi_awaddr[86],13.78µm
s_axi_wdata[19],13.78µm
s_axi_wdata[4],13.78µm
u_write_arbiter.aw_buf_addr\[58\],13.78µm
m_axi_rdata[23],13.74µm
m_axi_rdata[52],13.74µm
m_axi_rresp[1],13.74µm
s_axi_araddr[100],13.74µm
s_axi_araddr[10],13.74µm
s_axi_araddr[14],13.74µm
s_axi_araddr[51],13.74µm
s_axi_araddr[69],13.74µm
net281,13.74µm
s_axi_wdata[75],13.7µm
u_write_arbiter.w_buf_data\[13\],13.7µm
_2093_,13.68µm
u_read_arbiter.u_read_qos.age_m2\[1\],13.64µm
net321,13.64µm
u_write_arbiter.aw_buf_addr\[43\],13.6µm
_1869_,13.56µm
u_write_arbiter.w_buf_data\[61\],13.56µm
_0003_,13.54µm
_2859_,13.54µm
m_axi_awaddr[19],13.54µm
_0544_,13.52µm
u_read_arbiter.u_read_qos.age_m3\[3\],13.52µm
_0518_,13.5µm
m_axi_awaddr[55],13.5µm
u_write_arbiter.w_buf_valid\[1\],13.5µm
m_axi_awaddr[32],13.48µm
m_axi_awaddr[36],13.48µm
m_axi_awaddr[42],13.48µm
m_axi_awaddr[47],13.48µm
m_axi_awaddr[7],13.48µm
s_axi_awready[1],13.48µm
u_write_arbiter.aw_buf_valid\[0\],13.48µm
u_write_arbiter.w_buf_data\[4\],13.46µm
net1016,13.46µm
_0683_,13.43µm
_0526_,13.42µm
_1966_,13.42µm
net333,13.42µm
_2639_,13.4µm
cfg_master0_burst_limit[2],13.4µm
_0614_,13.38µm
_0687_,13.38µm
_2449_,13.38µm
_2908_,13.38µm
u_write_arbiter.w_buf_data\[100\],13.38µm
_1868_,13.34µm
_2885_,13.34µm
_1941_,13.32µm
_3026_,13.32µm
s_axi_awaddr[52],13.32µm
m_axi_rdata[1],13.28µm
m_axi_rdata[54],13.28µm
s_axi_araddr[109],13.28µm
s_axi_araddr[49],13.28µm
_1147_,13.26µm
u_write_arbiter.w_buf_data\[92\],13.26µm
_1309_,13.24µm
u_write_arbiter.w_buf_data\[10\],13.22µm
_2173_,13.2µm
s_axi_awaddr[112],13.2µm
s_axi_awaddr[79],13.2µm
s_axi_wdata[125],13.2µm
_0707_,13.18µm
_1814_,13.16µm
_2589_,13.14µm
_0699_,13.12µm
_1408_,13.12µm
_2828_,13.12µm
