Metric,Value
design__max_fanout_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.331169
clock__skew__worst_setup__corner:max_tt_025C_1v80,-0.331169
timing__hold__ws__corner:max_tt_025C_1v80,0.018839
timing__setup__ws__corner:max_tt_025C_1v80,2.011563
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0.0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.400314
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,4.605559
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,5
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,89
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,13
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.546144
clock__skew__worst_setup__corner:max_ss_100C_1v60,-0.546144
timing__hold__ws__corner:max_ss_100C_1v60,-0.102651
timing__setup__ws__corner:max_ss_100C_1v60,-0.659738
timing__hold__tns__corner:max_ss_100C_1v60,-0.903846
timing__setup__tns__corner:max_ss_100C_1v60,-6.722959
timing__hold__wns__corner:max_ss_100C_1v60,-0.102651
timing__setup__wns__corner:max_ss_100C_1v60,-0.659738
timing__hold_vio__count__corner:max_ss_100C_1v60,17
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.913509
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,28
timing__setup_r2r__ws__corner:max_ss_100C_1v60,-0.251506
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,2
timing__unannotated_net__count__corner:max_ss_100C_1v60,5
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.234609
clock__skew__worst_setup__corner:max_ff_n40C_1v95,-0.234609
timing__hold__ws__corner:max_ff_n40C_1v95,0.093419
timing__setup__ws__corner:max_ff_n40C_1v95,2.618578
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0.0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.215375
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.358266
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,5
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,5
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79927
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000731554
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00075604
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000391406
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00075604
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00004020000000000000135724764760425387066788971424102783203125
ir__drop__worst,0.0007320000000000000117683640610266593284904956817626953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
