net,length_um
s_axi_araddr[105],13.86µm
u_write_arbiter.w_buf_data\[9\],13.84µm
_1279_,13.82µm
s_axi_wdata[60],13.81µm
net1000,13.8µm
_0021_,13.78µm
_0798_,13.78µm
s_axi_awaddr[54],13.78µm
s_axi_awaddr[62],13.78µm
s_axi_awaddr[8],13.78µm
s_axi_awprot[2],13.78µm
m_axi_rdata[41],13.74µm
s_axi_araddr[103],13.74µm
s_axi_awaddr[19],13.74µm
s_axi_awaddr[40],13.74µm
_1092_,13.72µm
_1214_,13.72µm
net314,13.72µm
_1140_,13.7µm
s_axi_awaddr[12],13.7µm
s_axi_awaddr[95],13.7µm
s_axi_wdata[116],13.7µm
s_axi_wdata[49],13.7µm
u_write_arbiter.aw_buf_addr\[126\],13.7µm
_1143_,13.68µm
u_write_arbiter.aw_buf_addr\[61\],13.68µm
u_write_arbiter.w_buf_data\[55\],13.68µm
_0417_,13.66µm
_3021_,13.62µm
_3098_,13.62µm
_0549_,13.6µm
_1023_,13.6µm
_0727_,13.58µm
_2161_,13.58µm
_2522_,13.58µm
u_write_arbiter.aw_buf_addr\[65\],13.58µm
net976,13.58µm
_0541_,13.54µm
_2445_,13.54µm
_3073_,13.54µm
m_axi_awaddr[4],13.54µm
u_write_arbiter.w_buf_strb\[0\],13.54µm
u_response_router.w_owner_id\[1\],13.53µm
_0563_,13.5µm
_1387_,13.5µm
_1693_,13.5µm
_1967_,13.5µm
_0680_,13.48µm
_1692_,13.48µm
m_axi_awaddr[31],13.48µm
m_axi_awaddr[37],13.48µm
u_write_arbiter.aw_buf_addr\[38\],13.48µm
u_write_arbiter.aw_buf_addr\[41\],13.48µm
u_write_arbiter.aw_buf_addr\[37\],13.46µm
net1234,13.46µm
s_axi_rdata[103],13.45µm
_0750_,13.42µm
_0877_,13.42µm
_1093_,13.42µm
_1816_,13.4µm
cfg_master0_burst_limit[1],13.4µm
cfg_master0_burst_limit[5],13.4µm
s_axi_araddr[122],13.4µm
_0460_,13.38µm
_1010_,13.38µm
_1193_,13.34µm
net95,13.34µm
m_axi_awready[0],13.32µm
s_axi_awaddr[83],13.32µm
u_write_arbiter.w_buf_data\[0\],13.32µm
m_axi_rdata[26],13.28µm
m_axi_rdata[29],13.28µm
m_axi_rdata[55],13.28µm
s_axi_awaddr[105],13.28µm
net295,13.28µm
u_write_arbiter.w_buf_data\[64\],13.24µm
_0701_,13.22µm
u_write_arbiter.aw_buf_addr\[4\],13.22µm
_2997_,13.2µm
s_axi_awaddr[13],13.2µm
s_axi_awaddr[29],13.2µm
s_axi_awaddr[88],13.2µm
net824,13.2µm
_3069_,13.18µm
u_write_arbiter.w_buf_data\[21\],13.18µm
_0060_,13.16µm
_3023_,13.16µm
u_write_arbiter.aw_buf_addr\[16\],13.14µm
u_write_arbiter.aw_buf_prot\[1\],13.12µm
u_write_arbiter.w_buf_data\[104\],13.12µm
_0712_,13.1µm
_2467_,13.1µm
net849,13.1µm
m_axi_awaddr[11],13.08µm
_0034_,13.06µm
m_axi_araddr[12],13.06µm
m_axi_araddr[18],13.06µm
m_axi_awaddr[39],13.06µm
_1100_,13.04µm
_1453_,13.04µm
_1566_,13.04µm
_2534_,13.04µm
u_write_arbiter.w_buf_data\[113\],13.04µm
u_write_arbiter.w_buf_data\[121\],13.04µm
m_axi_awaddr[28],13.02µm
net984,13µm
_1306_,12.96µm
net325,12.96µm
net551,12.96µm
_0247_,12.94µm
net340,12.94µm
_1171_,12.92µm
_2529_,12.91µm
_2220_,12.9µm
_2551_,12.9µm
_0858_,12.88µm
_3042_,12.88µm
clknet_leaf_98_aclk,12.88µm
u_write_arbiter.w_buf_data\[56\],12.86µm
u_write_arbiter.w_buf_data\[63\],12.84µm
net690,12.84µm
m_axi_rdata[42],12.82µm
s_axi_araddr[25],12.82µm
s_axi_wdata[119],12.82µm
s_axi_wdata[11],12.82µm
s_axi_wdata[15],12.82µm
s_axi_wdata[42],12.82µm
net451,12.82µm
net472,12.82µm
_0540_,12.8µm
_1212_,12.8µm
net332,12.8µm
_0715_,12.78µm
_0170_,12.76µm
_2198_,12.76µm
net825,12.76µm
_0697_,12.74µm
s_axi_awaddr[115],12.74µm
_0641_,12.72µm
_0789_,12.72µm
_0875_,12.72µm
_3030_,12.72µm
s_axi_awaddr[120],12.72µm
_0928_,12.71µm
_1467_,12.7µm
net842,12.7µm
u_write_arbiter.w_buf_strb\[4\],12.68µm
_0684_,12.66µm
_1320_,12.66µm
_1353_,12.66µm
m_axi_wvalid[0],12.64µm
_1557_,12.62µm
_1875_,12.62µm
net1180,12.62µm
net1222,12.62µm
_2790_,12.6µm
m_axi_araddr[14],12.6µm
m_axi_araddr[2],12.6µm
m_axi_araddr[7],12.6µm
_0699_,12.58µm
_0797_,12.58µm
_1044_,12.58µm
_2072_,12.58µm
s_axi_rresp[4],12.51µm
_0570_,12.5µm
_1570_,12.5µm
m_axi_awaddr[2],12.48µm
m_axi_awaddr[53],12.48µm
u_write_arbiter.aw_buf_addr\[107\],12.46µm
u_write_arbiter.w_buf_data\[73\],12.46µm
clknet_leaf_87_aclk,12.46µm
net996,12.42µm
net1024,12.42µm
_0068_,12.4µm
s_axi_awaddr[100],12.4µm
s_axi_awaddr[114],12.4µm
s_axi_awaddr[22],12.4µm
s_axi_awaddr[26],12.4µm
s_axi_awaddr[2],12.4µm
u_write_arbiter.w_buf_data\[45\],12.4µm
net478,12.4µm
_0958_,12.38µm
_1841_,12.38µm
net864,12.38µm
s_axi_wdata[78],12.37µm
_1090_,12.36µm
cfg_master0_burst_limit[0],12.36µm
m_axi_rdata[12],12.36µm
m_axi_rdata[14],12.36µm
m_axi_rdata[22],12.36µm
m_axi_rdata[28],12.36µm
m_axi_rdata[43],12.36µm
m_axi_rdata[44],12.36µm
m_axi_rdata[49],12.36µm
m_axi_rdata[50],12.36µm
m_axi_rdata[53],12.36µm
m_axi_rdata[63],12.36µm
s_axi_araddr[14],12.36µm
s_axi_awaddr[0],12.36µm
s_axi_awaddr[119],12.36µm
s_axi_awaddr[85],12.36µm
s_axi_wdata[105],12.36µm
s_axi_wdata[109],12.36µm
s_axi_wdata[111],12.36µm
s_axi_wdata[115],12.36µm
s_axi_wdata[121],12.36µm
s_axi_wdata[21],12.36µm
s_axi_wdata[41],12.36µm
s_axi_wdata[45],12.36µm
net431,12.36µm
_1323_,12.34µm
u_read_arbiter.u_read_qos.age_m1\[7\],12.34µm
u_write_arbiter.w_buf_data\[67\],12.32µm
_2095_,12.3µm
u_write_arbiter.w_buf_data\[115\],12.3µm
net1056,12.3µm
_0006_,12.28µm
_0748_,12.28µm
s_axi_awaddr[23],12.28µm
s_axi_awaddr[49],12.28µm
s_axi_awaddr[57],12.28µm
net239,12.28µm
_3077_,12.25µm
_0640_,12.24µm
s_axi_wdata[33],12.24µm
_0356_,12.22µm
_1130_,12.22µm
_2781_,12.22µm
net656,12.22µm
s_axi_wdata[28],12.21µm
_0548_,12.18µm
_2629_,12.18µm
s_axi_rresp[6],12.17µm
s_axi_rvalid[2],12.17µm
s_axi_awaddr[124],12.16µm
u_write_arbiter.w_buf_strb\[10\],12.16µm
net106,12.16µm
m_axi_araddr[50],12.14µm
_1144_,12.12µm
_2468_,12.12µm
u_write_arbiter.aw_buf_prot\[7\],12.12µm
u_write_arbiter.w_buf_data\[39\],12.12µm
_2822_,12.1µm
_1926_,12.08µm
s_axi_arprot[7],12.05µm
net347,12.04µm
_1152_,12.02µm
m_axi_awaddr[14],12.02µm
m_axi_rdata[1],12.02µm
m_axi_rdata[36],12.02µm
m_axi_rdata[3],12.02µm
m_axi_rdata[5],12.02µm
m_axi_rdata[7],12.02µm
s_axi_araddr[17],12.02µm
s_axi_araddr[30],12.02µm
_0584_,12µm
_1223_,12µm
_1959_,12µm
u_write_arbiter.aw_buf_addr\[127\],12µm
u_write_arbiter.w_buf_strb\[5\],12µm
_0340_,11.98µm
_1034_,11.98µm
s_axi_wdata[76],11.97µm
_2559_,11.94µm
s_axi_awaddr[107],11.94µm
s_axi_awaddr[11],11.94µm
s_axi_awaddr[20],11.94µm
s_axi_awprot[1],11.94µm
s_axi_wdata[125],11.93µm
_0020_,11.92µm
_1564_,11.9µm
cfg_master0_burst_limit[2],11.9µm
cfg_master0_burst_limit[7],11.9µm
s_axi_wdata[101],11.9µm
s_axi_wdata[104],11.9µm
s_axi_wdata[106],11.9µm
s_axi_wdata[113],11.9µm
s_axi_wdata[118],11.9µm
s_axi_wdata[120],11.9µm
s_axi_wdata[124],11.9µm
s_axi_wdata[16],11.9µm
s_axi_wdata[17],11.9µm
s_axi_wdata[1],11.9µm
s_axi_wdata[40],11.9µm
s_axi_wdata[43],11.9µm
s_axi_wdata[44],11.9µm
s_axi_wdata[46],11.9µm
s_axi_wdata[47],11.9µm
s_axi_wdata[5],11.9µm
s_axi_wdata[67],11.9µm
_2508_,11.88µm
u_write_arbiter.aw_buf_addr\[81\],11.88µm
u_write_arbiter.aw_buf_addr\[50\],11.86µm
u_write_arbiter.aw_buf_addr\[100\],11.84µm
net595,11.84µm
net870,11.84µm
s_axi_awaddr[17],11.82µm
s_axi_awaddr[82],11.82µm
net643,11.82µm
net1079,11.82µm
_1068_,11.8µm
_0866_,11.78µm
_1240_,11.78µm
_1714_,11.78µm
_1894_,11.78µm
_0675_,11.76µm
_1169_,11.74µm
_1767_,11.74µm
u_write_arbiter.aw_buf_prot\[10\],11.74µm
u_write_arbiter.aw_buf_addr\[15\],11.72µm
_2123_,11.7µm
m_axi_awaddr[12],11.7µm
m_axi_awaddr[25],11.7µm
m_axi_awaddr[51],11.7µm
m_axi_awaddr[52],11.7µm
m_axi_awprot[5],11.7µm
net1001,11.7µm
s_axi_wdata[95],11.69µm
_1559_,11.68µm
m_axi_awaddr[23],11.68µm
_0467_,11.66µm
_2077_,11.66µm
u_write_arbiter.aw_buf_prot\[6\],11.66µm
u_write_arbiter.w_buf_data\[22\],11.66µm
u_write_arbiter.w_buf_data\[93\],11.66µm
_0336_,11.62µm
_0346_,11.6µm
_1069_,11.6µm
_2081_,11.6µm
_0032_,11.58µm
_0731_,11.58µm
_1245_,11.58µm
_1427_,11.58µm
u_write_arbiter.aw_buf_addr\[101\],11.58µm
_2810_,11.56µm
m_axi_rdata[0],11.56µm
m_axi_rresp[3],11.56µm
s_axi_araddr[0],11.56µm
s_axi_araddr[100],11.56µm
s_axi_araddr[10],11.56µm
s_axi_araddr[115],11.56µm
s_axi_araddr[116],11.56µm
s_axi_araddr[117],11.56µm
s_axi_araddr[126],11.56µm
s_axi_araddr[127],11.56µm
s_axi_araddr[12],11.56µm
s_axi_araddr[22],11.56µm
s_axi_araddr[24],11.56µm
_0775_,11.54µm
u_write_arbiter.aw_buf_addr\[58\],11.54µm
_1677_,11.52µm
_2966_,11.51µm
s_axi_wdata[30],11.51µm
s_axi_wdata[58],11.49µm
s_axi_awaddr[103],11.48µm
s_axi_awaddr[122],11.48µm
s_axi_awaddr[27],11.48µm
s_axi_awaddr[6],11.48µm
s_axi_awaddr[72],11.48µm
s_axi_awprot[5],11.48µm
_1758_,11.46µm
clknet_leaf_7_aclk,11.46µm
s_axi_wstrb[13],11.45µm
_2858_,11.44µm
m_axi_arready[0],11.44µm
m_axi_arready[1],11.44µm
m_axi_rdata[11],11.44µm
m_axi_rdata[19],11.44µm
m_axi_rdata[21],11.44µm
m_axi_rdata[30],11.44µm
m_axi_rdata[33],11.44µm
m_axi_rdata[37],11.44µm
m_axi_rdata[39],11.44µm
m_axi_rdata[4],11.44µm
m_axi_rdata[56],11.44µm
m_axi_rdata[61],11.44µm
m_axi_rdata[9],11.44µm
m_axi_rresp[0],11.44µm
m_axi_rresp[1],11.44µm
m_axi_rresp[2],11.44µm
m_axi_rvalid[0],11.44µm
s_axi_araddr[101],11.44µm
s_axi_araddr[102],11.44µm
s_axi_araddr[104],11.44µm
s_axi_araddr[106],11.44µm
s_axi_araddr[107],11.44µm
s_axi_araddr[108],11.44µm
s_axi_araddr[109],11.44µm
s_axi_araddr[111],11.44µm
s_axi_araddr[112],11.44µm
s_axi_araddr[113],11.44µm
s_axi_araddr[118],11.44µm
s_axi_araddr[119],11.44µm
s_axi_araddr[120],11.44µm
s_axi_araddr[124],11.44µm
s_axi_araddr[13],11.44µm
s_axi_araddr[15],11.44µm
s_axi_araddr[16],11.44µm
s_axi_araddr[19],11.44µm
s_axi_araddr[1],11.44µm
s_axi_araddr[20],11.44µm
s_axi_araddr[28],11.44µm
s_axi_araddr[2],11.44µm
s_axi_araddr[31],11.44µm
s_axi_araddr[32],11.44µm
s_axi_awaddr[36],11.44µm
s_axi_awaddr[92],11.44µm
s_axi_wdata[117],11.44µm
s_axi_wdata[24],11.44µm
s_axi_wdata[37],11.44µm
s_axi_wdata[68],11.44µm
_3178_,11.43µm
u_write_arbiter.w_buf_data\[95\],11.42µm
_2962_,11.41µm
_2429_,11.38µm
_2950_,11.38µm
s_axi_araddr[52],11.37µm
s_axi_arprot[0],11.37µm
_0288_,11.36µm
_1329_,11.36µm
_1832_,11.36µm
_2831_,11.36µm
_3128_,11.36µm
s_axi_awaddr[126],11.36µm
net877,11.36µm
_1125_,11.34µm
_3123_,11.34µm
_2840_,11.32µm
_2993_,11.32µm
_0174_,11.3µm
_0028_,11.28µm
u_write_arbiter.aw_buf_addr\[45\],11.28µm
net406,11.28µm
_0896_,11.26µm
_1037_,11.26µm
m_axi_awaddr[16],11.26µm
m_axi_awaddr[46],11.26µm
_1556_,11.24µm
_3114_,11.24µm
net951,11.24µm
net1059,11.24µm
_0523_,11.22µm
m_axi_araddr[44],11.22µm
m_axi_araddr[49],11.22µm
m_axi_awaddr[61],11.22µm
_0639_,11.2µm
_0974_,11.2µm
u_write_arbiter.aw_buf_addr\[74\],11.2µm
net456,11.2µm
net632,11.2µm
net964,11.2µm
_0656_,11.18µm
_1633_,11.16µm
_2561_,11.16µm
net1046,11.16µm
_1276_,11.14µm
_0722_,11.12µm
_2427_,11.12µm
_2541_,11.12µm
cfg_master0_burst_limit[4],11.1µm
cfg_master0_priority,11.1µm
s_axi_araddr[26],11.1µm
_1432_,11.08µm
u_write_arbiter.aw_buf_addr\[109\],11.08µm
net949,11.08µm
net1203,11.06µm
s_axi_awaddr[125],11.02µm
s_axi_awaddr[51],11.02µm
s_axi_awaddr[61],11.02µm
s_axi_awaddr[80],11.02µm
s_axi_awaddr[99],11.02µm
s_axi_awaddr[9],11.02µm
net353,11.02µm
_2834_,11µm
u_write_arbiter.aw_buf_addr\[75\],11µm
u_write_arbiter.w_buf_data\[126\],11µm
m_axi_rdata[40],10.98µm
s_axi_wdata[110],10.98µm
s_axi_wdata[112],10.98µm
s_axi_wdata[55],10.98µm
u_write_arbiter.aw_buf_addr\[112\],10.96µm
u_write_arbiter.u_write_qos.age_m2\[1\],10.96µm
u_write_arbiter.w_buf_data\[92\],10.96µm
u_write_arbiter.w_buf_data\[77\],10.94µm
net952,10.92µm
_1560_,10.9µm
_1613_,10.88µm
_1689_,10.88µm
_0912_,10.86µm
_1642_,10.86µm
_2032_,10.86µm
_2061_,10.86µm
net975,10.86µm
_2381_,10.82µm
_3016_,10.82µm
net327,10.82µm
s_axi_araddr[95],10.81µm
s_axi_wdata[59],10.81µm
_0650_,10.8µm
_0066_,10.78µm
_1799_,10.78µm
m_axi_awaddr[45],10.78µm
_1280_,10.76µm
_2518_,10.76µm
m_axi_araddr[0],10.76µm
m_axi_araddr[10],10.76µm
m_axi_araddr[11],10.76µm
m_axi_araddr[13],10.76µm
m_axi_araddr[15],10.76µm
m_axi_araddr[16],10.76µm
m_axi_araddr[17],10.76µm
m_axi_araddr[19],10.76µm
m_axi_araddr[1],10.76µm
m_axi_araddr[20],10.76µm
m_axi_araddr[21],10.76µm
m_axi_araddr[22],10.76µm
m_axi_araddr[23],10.76µm
m_axi_araddr[24],10.76µm
m_axi_araddr[25],10.76µm
m_axi_araddr[26],10.76µm
m_axi_araddr[27],10.76µm
m_axi_araddr[28],10.76µm
m_axi_araddr[30],10.76µm
m_axi_araddr[31],10.76µm
m_axi_araddr[32],10.76µm
m_axi_araddr[33],10.76µm
m_axi_araddr[34],10.76µm
m_axi_araddr[35],10.76µm
m_axi_araddr[36],10.76µm
m_axi_araddr[37],10.76µm
m_axi_araddr[38],10.76µm
m_axi_araddr[39],10.76µm
m_axi_araddr[3],10.76µm
m_axi_araddr[40],10.76µm
m_axi_araddr[41],10.76µm
m_axi_araddr[42],10.76µm
m_axi_araddr[43],10.76µm
m_axi_araddr[45],10.76µm
m_axi_araddr[46],10.76µm
m_axi_araddr[47],10.76µm
m_axi_araddr[48],10.76µm
m_axi_araddr[4],10.76µm
m_axi_araddr[51],10.76µm
m_axi_araddr[52],10.76µm
m_axi_araddr[53],10.76µm
m_axi_araddr[54],10.76µm
m_axi_araddr[56],10.76µm
m_axi_araddr[58],10.76µm
m_axi_araddr[59],10.76µm
m_axi_araddr[5],10.76µm
m_axi_araddr[60],10.76µm
m_axi_araddr[62],10.76µm
m_axi_araddr[63],10.76µm
m_axi_araddr[6],10.76µm
m_axi_araddr[8],10.76µm
m_axi_araddr[9],10.76µm
m_axi_arprot[0],10.76µm
m_axi_arprot[1],10.76µm
m_axi_arprot[2],10.76µm
m_axi_arprot[3],10.76µm
m_axi_arprot[4],10.76µm
m_axi_arprot[5],10.76µm
m_axi_arvalid[0],10.76µm
m_axi_arvalid[1],10.76µm
m_axi_rready[0],10.76µm
m_axi_rready[1],10.76µm
_2880_,10.74µm
_2939_,10.74µm
u_write_arbiter.aw_buf_addr\[40\],10.74µm
u_write_arbiter.w_buf_data\[85\],10.74µm
_2653_,10.72µm
_0703_,10.7µm
_0807_,10.7µm
_0751_,10.66µm
_1429_,10.66µm
_1569_,10.66µm
_2978_,10.66µm
net473,10.66µm
_2674_,10.64µm
u_write_arbiter.w_buf_data\[16\],10.62µm
_2791_,10.6µm
_3088_,10.6µm
_2499_,10.58µm
net637,10.58µm
s_axi_araddr[41],10.57µm
s_axi_wdata[29],10.57µm
_2383_,10.56µm
s_axi_awaddr[66],10.56µm
s_axi_awaddr[89],10.56µm
_0951_,10.54µm
u_write_arbiter.aw_buf_addr\[68\],10.54µm
u_write_arbiter.w_buf_data\[15\],10.54µm
_1671_,10.5µm
_3002_,10.5µm
u_read_arbiter.u_read_qos.budget_1\[2\],10.5µm
net820,10.46µm
_0069_,10.44µm
_0388_,10.44µm
_1696_,10.44µm
_1996_,10.44µm
_3141_,10.44µm
_0213_,10.4µm
_1763_,10.4µm
_2105_,10.4µm
_2710_,10.4µm
net62,10.4µm
_0930_,10.38µm
u_write_arbiter.aw_buf_addr\[14\],10.38µm
u_write_arbiter.aw_buf_prot\[5\],10.38µm
net819,10.36µm
u_write_arbiter.w_buf_data\[124\],10.355µm
_1218_,10.34µm
_2585_,10.34µm
m_axi_awaddr[0],10.34µm
m_axi_wvalid[1],10.34µm
net94,10.34µm
_0023_,10.32µm
_0854_,10.32µm
_1562_,10.32µm
m_axi_awaddr[44],10.32µm
s_axi_awready[3],10.32µm
_0589_,10.3µm
_0879_,10.3µm
_0890_,10.3µm
_1359_,10.3µm
_2956_,10.3µm
s_axi_wstrb[11],10.29µm
_1046_,10.28µm
_1723_,10.28µm
_2272_,10.28µm
_2384_,10.28µm
u_write_arbiter.w_buf_data\[42\],10.28µm
u_write_arbiter.w_buf_data\[57\],10.28µm
u_write_arbiter.w_buf_strb\[6\],10.28µm
net1019,10.28µm
_0531_,10.26µm
_1687_,10.26µm
net888,10.26µm
s_axi_arprot[9],10.25µm
_1334_,10.24µm
_2598_,10.24µm
_1965_,10.2µm
_2096_,10.2µm
_2487_,10.2µm
net315,10.2µm
net636,10.2µm
_0811_,10.18µm
_0959_,10.18µm
net322,10.18µm
u_write_arbiter.aw_buf_addr\[1\],10.16µm
u_write_arbiter.aw_buf_addr\[73\],10.16µm
u_write_arbiter.w_buf_data\[71\],10.16µm
_0178_,10.14µm
net538,10.14µm
s_axi_wdata[26],10.13µm
_0856_,10.12µm
_1099_,10.12µm
_0176_,10.1µm
s_axi_awaddr[112],10.1µm
s_axi_awaddr[116],10.1µm
s_axi_awaddr[118],10.1µm
s_axi_awaddr[18],10.1µm
s_axi_awaddr[97],10.1µm
net326,10.1µm
net440,10.1µm
net702,10.1µm
s_axi_wstrb[10],10.09µm
_0476_,10.08µm
_1719_,10.08µm
u_read_arbiter.u_read_qos.budget_3\[0\],10.08µm
u_write_arbiter.aw_buf_addr\[36\],10.08µm
net286,10.08µm
_0844_,10.04µm
_0869_,10.02µm
_0492_,10µm
_2031_,10µm
net1045,10µm
_0944_,9.98µm
net801,9.98µm
net803,9.98µm
net846,9.98µm
_1802_,9.96µm
_0746_,9.94µm
u_write_arbiter.aw_buf_addr\[35\],9.94µm
_0695_,9.92µm
u_write_arbiter.aw_buf_addr\[99\],9.92µm
_0049_,9.9µm
_1201_,9.9µm
_2024_,9.9µm
_2480_,9.9µm
_3174_,9.9µm
net1092,9.9µm
s_axi_wdata[31],9.89µm
_0682_,9.88µm
_2550_,9.88µm
_2761_,9.88µm
s_axi_wdata[83],9.87µm
_0729_,9.86µm
_2907_,9.86µm
_3210_,9.86µm
m_axi_bready[0],9.86µm
net333,9.86µm
_0911_,9.84µm
_0287_,9.82µm
_0953_,9.82µm
_0966_,9.82µm
_1082_,9.82µm
_1420_,9.82µm
_1717_,9.82µm
_1772_,9.82µm
_2295_,9.82µm
_2390_,9.82µm
_2621_,9.82µm
_3036_,9.82µm
u_write_arbiter.w_buf_strb\[2\],9.82µm
net703,9.82µm
net1008,9.82µm
_1928_,9.8µm
_2219_,9.78µm
_2724_,9.78µm
net321,9.78µm
net1029,9.78µm
net1091,9.78µm
_0880_,9.74µm
_1756_,9.74µm
_2176_,9.74µm
_2628_,9.74µm
net694,9.74µm
_1651_,9.72µm
_0693_,9.7µm
_0792_,9.7µm
net384,9.7µm
_1226_,9.66µm
_1318_,9.66µm
net373,9.66µm
s_axi_wdata[87],9.65µm
s_axi_wdata[89],9.65µm
_2228_,9.64µm
_2489_,9.64µm
m_axi_bresp[2],9.64µm
m_axi_bvalid[1],9.64µm
s_axi_awaddr[104],9.64µm
s_axi_awaddr[25],9.64µm
s_axi_awaddr[31],9.64µm
s_axi_awaddr[34],9.64µm
s_axi_awaddr[39],9.64µm
s_axi_awaddr[55],9.64µm
s_axi_awaddr[7],9.64µm
net277,9.64µm
_0647_,9.62µm
_1400_,9.62µm
_1793_,9.62µm
_0677_,9.58µm
_1396_,9.58µm
_1413_,9.58µm
_1864_,9.58µm
_2526_,9.58µm
_3217_,9.58µm
u_write_arbiter.w_buf_data\[60\],9.58µm
_0588_,9.54µm
u_write_arbiter.u_write_qos.budget_3\[2\],9.54µm
s_axi_arprot[11],9.53µm
_1447_,9.52µm
_3039_,9.52µm
net1126,9.52µm
_1801_,9.5µm
u_write_arbiter.w_buf_data\[2\],9.5µm
_0706_,9.48µm
_2592_,9.48µm
_3038_,9.48µm
_0723_,9.46µm
u_write_arbiter.aw_buf_addr\[10\],9.46µm
s_axi_wdata[25],9.45µm
_1341_,9.42µm
_3026_,9.42µm
m_axi_awaddr[48],9.42µm
m_axi_awaddr[58],9.42µm
s_axi_wdata[81],9.41µm
s_axi_wstrb[2],9.41µm
_2283_,9.4µm
_2415_,9.4µm
_2720_,9.4µm
_3220_,9.4µm
net349,9.4µm
_1262_,9.38µm
m_axi_wdata[23],9.37µm
_0832_,9.36µm
_2414_,9.36µm
_2586_,9.36µm
_2652_,9.36µm
_3035_,9.36µm
u_write_arbiter.w_buf_data\[38\],9.36µm
net479,9.36µm
_0846_,9.34µm
_0874_,9.34µm
_2946_,9.34µm
_0707_,9.32µm
_2436_,9.32µm
_2473_,9.32µm
net970,9.32µm
net1007,9.32µm
s_axi_araddr[69],9.31µm
s_axi_wdata[63],9.31µm
_1795_,9.3µm
_0802_,9.28µm
_1715_,9.28µm
_1762_,9.28µm
_2734_,9.28µm
_3104_,9.28µm
u_write_arbiter.aw_buf_addr\[62\],9.28µm
u_write_arbiter.aw_buf_addr\[34\],9.26µm
net378,9.26µm
_0939_,9.24µm
net290,9.24µm
clknet_leaf_1_aclk,9.24µm
_2405_,9.22µm
_0710_,9.18µm
s_axi_awaddr[106],9.18µm
s_axi_awaddr[35],9.18µm
s_axi_awaddr[37],9.18µm
s_axi_awaddr[50],9.18µm
s_axi_awaddr[63],9.18µm
s_axi_awaddr[91],9.18µm
s_axi_awaddr[96],9.18µm
s_axi_awprot[4],9.18µm
_2250_,9.17µm
_0047_,9.16µm
_0917_,9.16µm
_2870_,9.16µm
_0468_,9.14µm
_2510_,9.14µm
u_write_arbiter.w_buf_data\[12\],9.14µm
u_write_arbiter.u_write_qos.budget_3\[0\],9.13µm
u_write_arbiter.aw_buf_addr\[11\],9.12µm
u_write_arbiter.aw_buf_addr\[13\],9.12µm
_1773_,9.1µm
_2844_,9.08µm
_2850_,9.08µm
net1066,9.08µm
net1100,9.08µm
s_axi_wready[2],9.07µm
_1167_,9.06µm
_1938_,9.06µm
_1993_,9.06µm
_2167_,9.06µm
_2521_,9.06µm
_2964_,9.06µm
_3152_,9.06µm
net65,9.06µm
net1063,9.06µm
_0891_,9.04µm
_1729_,9.04µm
_2351_,9.02µm
_2409_,9.02µm
_2470_,9.02µm
_2503_,9.02µm
_2584_,9.02µm
_0782_,9.01µm
_0280_,9µm
_2201_,8.98µm
cfg_weight_m3[1],8.97µm
s_axi_araddr[96],8.97µm
s_axi_rresp[7],8.97µm
s_axi_wdata[126],8.97µm
_1104_,8.96µm
_2189_,8.96µm
m_axi_awaddr[42],8.96µm
m_axi_awaddr[62],8.96µm
m_axi_awaddr[63],8.96µm
m_axi_awaddr[8],8.96µm
net260,8.96µm
_0885_,8.94µm
_1292_,8.94µm
_1355_,8.94µm
_1465_,8.94µm
_2723_,8.94µm
_3061_,8.94µm
_3186_,8.94µm
_3204_,8.94µm
u_write_arbiter.aw_buf_addr\[63\],8.92µm
_0595_,8.9µm
_0700_,8.9µm
_0761_,8.9µm
_1045_,8.9µm
_1348_,8.9µm
_2446_,8.9µm
u_write_arbiter.w_buf_data\[53\],8.9µm
_0870_,8.88µm
_1049_,8.88µm
net800,8.88µm
_1371_,8.86µm
_2365_,8.86µm
_2411_,8.86µm
_2903_,8.86µm
_3205_,8.86µm
net336,8.86µm
net1009,8.86µm
s_axi_araddr[55],8.85µm
s_axi_arprot[3],8.85µm
_0674_,8.84µm
_0726_,8.84µm
_1701_,8.82µm
u_write_arbiter.aw_buf_addr\[108\],8.82µm
net289,8.82µm
_1239_,8.8µm
_2756_,8.8µm
_3004_,8.8µm
u_write_arbiter.aw_buf_addr\[102\],8.8µm
_0349_,8.78µm
_0664_,8.78µm
_0864_,8.78µm
_1007_,8.76µm
_1595_,8.74µm
s_axi_araddr[99],8.73µm
s_axi_arvalid[3],8.73µm
s_axi_wdata[62],8.73µm
s_axi_wdata[82],8.73µm
_0391_,8.72µm
m_axi_bresp[3],8.72µm
m_axi_wready[1],8.72µm
s_axi_awaddr[102],8.72µm
s_axi_awaddr[123],8.72µm
s_axi_awaddr[1],8.72µm
s_axi_awaddr[52],8.72µm
s_axi_awaddr[60],8.72µm
_1346_,8.7µm
_1030_,8.66µm
u_write_arbiter.aw_buf_addr\[95\],8.66µm
u_write_arbiter.u_write_qos.age_m2\[2\],8.66µm
_0064_,8.64µm
u_write_arbiter.w_buf_data\[23\],8.64µm
_1166_,8.63µm
s_axi_awready[2],8.63µm
_1851_,8.62µm
net953,8.62µm
_3116_,8.6µm
_3118_,8.6µm
_0838_,8.58µm
_0918_,8.58µm
_1681_,8.58µm
_1724_,8.58µm
_2750_,8.58µm
u_read_arbiter.u_read_qos.m0_burst_count\[3\],8.58µm
