net,length_um
net26,137.94µm
_0676_,137.66µm
_1106_,137.46µm
_2900_,137.35µm
_3121_,137.09µm
net484,136.62µm
_1232_,136.32µm
net891,136.32µm
net799,136.16µm
net257,135.72µm
net80,135.5µm
net585,134.72µm
net423,134.6µm
_2325_,132.91µm
net389,132.62µm
_2779_,132.4µm
_2957_,132.31µm
_0987_,132.26µm
_2148_,132.18µm
_2717_,131.16µm
_2324_,131.08µm
_1912_,130.88µm
net421,130.46µm
_1958_,130.39µm
net79,130.32µm
net22,130.16µm
net218,130.04µm
net587,129.28µm
_0546_,128.98µm
net100,128.92µm
net220,128.68µm
_1955_,128.5µm
clknet_leaf_23_aclk,128.3µm
_0573_,127.92µm
net28,127.4µm
_1107_,127.3µm
_1905_,126.74µm
net343,125.76µm
_0616_,124.76µm
_3090_,124.58µm
net370,124.52µm
net96,124.42µm
net21,123.28µm
_3196_,123.02µm
_1936_,122.66µm
net620,122.58µm
net271,122.48µm
net597,121.62µm
_0529_,121.24µm
net126,120.72µm
_2278_,120.715µm
_2288_,120.52µm
net120,120.26µm
_0554_,120.25µm
net89,120.1µm
_1951_,119.76µm
net363,119.16µm
net211,119.14µm
net84,119.04µm
clknet_leaf_95_aclk,118.12µm
net885,116.86µm
_1460_,116.46µm
net83,116.04µm
net203,115.56µm
net68,114.54µm
net682,114.38µm
_1326_,114.355µm
_1705_,113.77µm
net41,113.46µm
net97,112.48µm
_1940_,112.46µm
net443,112.44µm
_3184_,112.16µm
_3173_,111.96µm
_2450_,111.2µm
net43,110.22µm
u_write_arbiter.aw_buf_addr\[55\],109.76µm
net269,109.22µm
net700,108.88µm
net790,108.74µm
net425,108.22µm
_2205_,107.61µm
_0630_,107.6µm
_1558_,107.6µm
_0621_,107.38µm
u_write_arbiter.aw_buf_addr\[124\],107.28µm
net653,107.24µm
net731,106.9µm
_1050_,106.54µm
net122,105.98µm
clknet_leaf_33_aclk,105.92µm
_0606_,105.845µm
_1133_,105.65µm
_3192_,105.6µm
net147,105.22µm
net25,104.64µm
clknet_leaf_29_aclk,104.62µm
u_write_arbiter.w_buf_data\[65\],104.42µm
_1585_,104.33µm
net236,104.3µm
_1946_,103.02µm
_1324_,102.6µm
clknet_leaf_89_aclk,102.35µm
_0753_,102.3µm
net209,101.52µm
net109,101.46µm
net566,101.04µm
_1970_,101µm
_2505_,100.98µm
_1620_,100.82µm
net418,100.76µm
clknet_leaf_91_aclk,100.58µm
clknet_leaf_97_aclk,100.54µm
net92,100.38µm
u_write_arbiter.aw_buf_addr\[89\],100.35µm
_2842_,99.98µm
_1823_,99.84µm
u_write_arbiter.aw_buf_addr\[25\],99.6µm
net550,99.36µm
clknet_leaf_48_aclk,98.8µm
net27,98.74µm
_2798_,98.04µm
net708,97.9µm
net686,97.67µm
clknet_leaf_20_aclk,97.67µm
_2848_,97.1µm
_2204_,97.08µm
net698,97.08µm
net743,96.9µm
net390,96.28µm
net441,96.22µm
net51,95.92µm
_2009_,95.9µm
_2124_,95.64µm
_2266_,95.6µm
_1867_,95.56µm
_1997_,95.56µm
_2869_,95.56µm
clknet_leaf_92_aclk,95.08µm
net641,94.98µm
u_write_arbiter.aw_buf_addr\[125\],94.2µm
net773,94.1µm
_0560_,93.86µm
net687,93.7µm
_1383_,92.9µm
_3089_,92.72µm
_1963_,92.62µm
net688,92.58µm
net645,92.48µm
_2035_,92.38µm
net125,92.36µm
_2785_,92.32µm
_2249_,92.06µm
net480,92µm
net415,91.92µm
net2,91.84µm
_1604_,91.42µm
net422,91.4µm
net328,91.32µm
net359,91.2µm
_3203_,91.16µm
u_write_arbiter.w_buf_data\[3\],90.84µm
_0922_,90.54µm
_2782_,90.28µm
net416,89.98µm
net442,89.96µm
u_write_arbiter.aw_buf_addr\[22\],89.54µm
u_write_arbiter.aw_buf_addr\[28\],89.42µm
net179,89.42µm
clknet_leaf_76_aclk,89.36µm
net287,89.3µm
_3062_,89.28µm
net402,89.28µm
net364,89.06µm
net135,88.74µm
net238,88.36µm
_1986_,88.3µm
clknet_leaf_55_aclk,88.26µm
u_response_router.w_target_slave\[1\],88.125µm
net428,87.98µm
_1964_,87.88µm
_2513_,87.86µm
net146,87.66µm
u_write_arbiter.aw_buf_addr\[60\],87.64µm
_3172_,87.48µm
net123,87.46µm
clknet_leaf_93_aclk,87.39µm
net377,87.38µm
net586,87.2µm
_2022_,86.9µm
u_write_arbiter.aw_buf_addr\[48\],86.9µm
net413,86.9µm
_1981_,86.78µm
net403,86.26µm
net177,86.14µm
u_write_arbiter.u_write_qos.is_active,85.9µm
_2349_,85.74µm
_3048_,85.68µm
net469,85.2µm
_2003_,85.02µm
_2582_,84.98µm
_2854_,84.5µm
clknet_leaf_0_aclk,84.34µm
_1058_,84.32µm
_2015_,84.26µm
_1975_,83.76µm
u_write_arbiter.aw_buf_addr\[24\],83.74µm
net341,83.74µm
_0569_,83.72µm
u_write_arbiter.aw_buf_addr\[49\],83.65µm
_1316_,83.5µm
clknet_leaf_50_aclk,83.44µm
_1391_,83.43µm
u_read_arbiter.u_read_qos.is_active,83.35µm
_1505_,83.2µm
_0678_,83.1µm
_0728_,82.92µm
_0553_,82.8µm
_1484_,82.56µm
_1553_,82.42µm
_1818_,82.42µm
u_response_router.w_target_slave\[0\],82.31µm
net537,82.06µm
_1382_,81.76µm
_1957_,81.54µm
net30,81.52µm
u_write_arbiter.aw_buf_addr\[94\],81.34µm
_3060_,81.15µm
clknet_leaf_66_aclk,81.06µm
clknet_leaf_43_aclk,81µm
u_write_arbiter.aw_buf_addr\[54\],80.76µm
clknet_leaf_27_aclk,80.74µm
_0547_,80.68µm
clknet_leaf_36_aclk,80.67µm
_2243_,79.66µm
net505,79.6µm
net420,79.38µm
u_write_arbiter.aw_buf_addr\[121\],79.02µm
clknet_leaf_90_aclk,78.9µm
clknet_leaf_30_aclk,78.64µm
clknet_leaf_24_aclk,78.24µm
_2795_,77.98µm
net419,77.98µm
_1586_,77.94µm
net797,77.94µm
_2995_,77.78µm
net429,77.78µm
net417,77.7µm
_0741_,77.645µm
_1593_,77.36µm
_3099_,77.06µm
_0631_,77.04µm
net272,76.88µm
_1579_,76.32µm
u_write_arbiter.w_buf_data\[4\],76.14µm
_3007_,75.98µm
clknet_leaf_84_aclk,75.76µm
_2143_,75.6µm
u_read_arbiter.u_read_qos.m0_burst_count\[0\],75.56µm
_1483_,75.27µm
u_write_arbiter.aw_buf_addr\[91\],75.19µm
_1059_,74.97µm
_2364_,74.84µm
u_write_arbiter.aw_buf_addr\[118\],74.42µm
net646,74.12µm
u_write_arbiter.aw_buf_addr\[27\],74.08µm
_1969_,74.06µm
